Orchestration architecture,Orchestration algorithm,Edge devices count,Tasks execution delay (s),Average execution delay (s),Tasks waiting time (s),Average waiting time (s),Tasks total time (s),Average total time (s),Tasks wasted execution delay (s),Average wasted execution delay (s),Tasks wasted waiting time (s),Average wasted waiting time (s),Tasks wasted total time (s),Average wasted total time (s),Average real total time (s),Generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Tasks success rate,Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average VM CPU usage (%),Average VM CPU usage (Cloud) (%),Average VM CPU usage (Edge) (%),Average VM CPU usage (Mist) (%),Energy consumption (W),Average energy consumption (W/Data center),Cloud energy consumption (W),Average Cloud energy consumption (W/Data center),Edge energy consumption (W),Average Edge energy consumption (W/Data center),Mist energy consumption (W),Average Mist energy consumption (W/Device),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
ALL,TEST,10,1285.3914,0.4214,450.8,0.1478,1736.1914,0.5692,9.3102,0.49,3.8,0.2,13.1102,0.69,0.57,3050,3031,0,19,0,0,0,2254,2235,716,716,80,80,99.37704918032787,16551.83200000006,11692.036000000093,16551.83200000006,7945.000000000659,0.0,0.0,11.330984991679014,1.2978,11.247,0.2498,0.3383,21.6827,1.4455,0.4724,0.4724,0.004,0.001,21.2063,2.1206,0,0,0,-1.0,[],[]
ALL,TEST,20,4246.3878,0.7081,465.8,0.0777,4712.1878,0.7858,25.2114,0.4423,9.8,0.1719,35.0114,0.6142,0.7841,6000,5942,0,57,0,1,0,2331,2282,3382,3377,287,283,99.03333333333333,55846.06800000162,29033.03599999993,55846.06800000162,22844.749999996373,0.0,0.0,9.931066303221822,3.3967,22.05,4.4434,1.4933,60.9613,2.4385,0.9853,0.9853,0.3393,0.0848,59.6367,2.9818,0,0,0,-1.0,[],[]
ALL,TEST,30,9037.6045,1.0123,539.6,0.0604,9577.2045,1.0727,78.593,0.4295,29.8,0.1628,108.393,0.5923,1.0631,8950,8766,0,183,0,1,0,2719,2570,5791,5758,440,438,97.94413407821229,72266.99200000023,33299.21600000016,72266.99200000023,38417.849999998834,0.0,0.0,9.857244748429808,11.3063,19.717,14.0267,10.2344,100.7865,2.8796,0.831,0.831,1.2102,0.3026,98.7453,3.2915,0,0,0,-1.0,[],[]
ALL,TEST,40,13786.6335,1.161,1356.1363,0.1142,15142.7699,1.2752,155.1077,0.6436,27.6,0.1145,182.7077,0.7581,1.2649,11900,11655,0,241,0,4,0,5382,5244,5867,5768,651,643,97.94117647058823,68152.10800000135,19363.2679999998,68152.10800000135,53307.75000000905,0.0,0.0,8.696653712203776,5.8651,11.9774,29.6901,1.6395,142.7721,3.1727,0.398,0.398,2.7089,0.6772,139.6653,3.4916,0,0,0,-1.0,[],[]
ALL,TEST,50,15832.5271,1.0649,2534.243,0.1705,18366.77,1.2354,254.8653,0.6654,119.5771,0.3122,374.4424,0.9777,1.2289,14950,14566,0,383,0,1,0,5677,5491,7342,7204,1931,1871,97.4314381270903,135421.3360000014,54518.47199999978,135421.3360000014,61931.7500000166,0.0,0.0,11.127009912289864,10.4346,20.5593,29.6342,7.5371,166.9558,3.0356,0.806,0.806,2.6457,0.6614,163.5041,3.2701,0,0,0,-1.0,[],[]
ALL,TEST,60,18115.6438,1.0216,7219.5406,0.4071,25335.1844,1.4287,418.1371,0.6463,613.5587,0.9483,1031.6958,1.5946,1.4345,17900,17237,0,647,0,16,0,4753,4521,11383,11031,1764,1685,96.29608938547486,323606.71999999334,142773.16799999974,323606.71999999334,76764.45000003163,0.0,0.0,8.8588694301071,11.7853,37.8133,29.3822,9.1071,203.9446,3.1376,1.6762,1.6762,2.4921,0.623,199.7763,3.3296,0,0,0,-1.0,[],[]
ALL,TEST,70,21563.1111,1.0606,13936.8379,0.6855,35499.949,1.7461,652.2259,0.6363,1926.8802,1.8799,2579.1062,2.5162,1.7831,20850,19810,0,1025,0,15,0,5949,5622,12312,11681,2589,2507,95.01199040767386,419614.6399999902,182898.6519999998,419614.6399999902,91601.55000004577,0.0,0.0,9.10978362428726,13.5554,41.9479,35.3978,10.7992,242.2969,3.2306,1.8417,1.8417,3.0421,0.7605,237.413,3.3916,0,0,0,-1.0,[],[]
ALL,TEST,80,25838.9137,1.1234,19643.1957,0.854,45482.1094,1.9774,949.5352,0.6544,3671.7689,2.5305,4621.304,3.1849,2.0491,23800,22332,0,1451,0,17,0,6439,6043,13289,12341,4072,3948,93.83193277310924,513246.6399999792,220315.41600000087,513246.6399999792,107131.00000005832,0.0,0.0,9.95511521802118,17.3388,45.2844,41.4064,14.751,283.3992,3.3341,1.9847,1.9847,3.5898,0.8974,277.8248,3.4728,0,0,0,-1.0,[],[]
ALL,TEST,90,29038.6465,1.1258,25603.8158,0.9926,54642.4623,2.1184,1183.4717,0.6467,5348.8572,2.9229,6532.329,3.5696,2.2146,26850,24989,0,1830,0,31,0,6933,6451,14568,13365,5349,5173,93.06890130353817,573046.3559999652,244783.62000000002,573046.3559999652,115082.05000007217,0.0,0.0,9.937125448749264,22.2242,45.7347,43.404,20.2199,302.1426,3.1804,1.9856,1.9856,3.7472,0.9368,296.4098,3.2934,0,0,0,-1.0,[],[]
ALL,TEST,100,35271.404,1.2593,30450.7437,1.0872,65722.1478,2.3465,1891.5675,0.6868,11015.4174,3.9998,12906.9849,4.6866,2.556,29800,26992,0,2754,0,54,0,7203,6461,15074,13230,7523,7301,90.57718120805369,662508.8359999533,289416.004,662508.8359999533,129749.70000008182,0.0,0.0,11.070955507744237,30.8455,50.1302,48.8006,29.3271,341.9583,3.2567,2.1801,2.1801,4.2471,1.0618,335.5311,3.3553,0,0,0,-1.0,[],[]
ALL,TEST,110,40131.4665,1.3234,35874.5528,1.183,76006.0194,2.5064,2694.4473,0.7756,17220.206,4.9569,19914.6533,5.7325,2.838,32750,29212,0,3474,0,64,0,7840,6975,16035,13692,8875,8545,89.1969465648855,736657.7679999303,322018.97599999915,736657.7679999303,144589.65000004304,0.0,0.0,11.514761455851707,37.926,51.867,51.4698,36.894,375.5077,3.2653,2.2453,2.2453,4.4725,1.1181,368.7899,3.3526,0,0,0,-1.0,[],[]
ALL,TEST,120,44853.2683,1.395,41513.685,1.2912,86366.9533,2.6862,4307.0733,0.906,28634.3043,6.0232,32941.3776,6.9292,3.2328,35700,30863,0,4754,0,83,0,8030,6818,16301,13156,11369,10889,86.45098039215686,828710.4199999151,365437.97199999954,828710.4199999151,158715.90000000354,0.0,0.0,12.312332294226458,42.122,53.1573,54.1718,41.2993,413.4792,3.3078,2.3819,2.3819,4.8924,1.2231,406.2049,3.385,0,0,0,-1.0,[],[]
ALL,TEST,130,49116.4434,1.4097,43986.1608,1.2625,93102.6043,2.6722,5010.4301,0.9371,32450.0029,6.0688,37460.433,7.0059,3.2488,38750,33311,0,5347,0,92,0,8582,7226,17216,13716,12952,12369,85.96387096774194,885106.7159999132,394855.23200000095,885106.7159999132,167019.24999997744,0.0,0.0,12.376328497989764,48.8003,54.2927,55.0024,48.4118,431.4692,3.1961,2.3752,2.3752,4.8482,1.212,424.2458,3.2634,0,0,0,-1.0,[],[]
ALL,TEST,140,53340.5203,1.4735,48203.4739,1.3316,101543.9943,2.805,7295.0698,1.0698,51048.5167,7.4862,58343.5865,8.556,3.7166,41700,34752,0,6819,0,129,0,8605,6794,17434,12964,15661,14994,83.33812949640287,985336.4479999032,448059.1960000007,985336.4479999032,181436.04999993966,0.0,0.0,13.03126921874724,51.9635,56.9014,59.2082,51.5598,470.032,3.2416,2.5433,2.5433,5.335,1.3338,462.1536,3.3011,0,0,0,-1.0,[],[]
ALL,TEST,150,60390.2669,1.5593,50698.5805,1.3091,111088.8473,2.8684,8725.789,1.1763,56251.7173,7.5831,64977.5063,8.7594,3.8154,44650,37123,0,7418,0,109,0,8943,7042,17559,12872,18148,17209,83.14221724524076,1057427.0399998948,483312.3360000017,1057427.0399998948,196361.54999990194,0.0,0.0,13.37047891427517,59.8395,58.2609,60.7296,59.8175,504.5378,3.2551,2.5595,2.5595,5.399,1.3497,496.5794,3.3105,0,0,0,-1.0,[],[]
ALL,TEST,160,65270.6393,1.6115,54793.6098,1.3529,120064.2491,2.9644,10222.2038,1.1852,72304.511,8.3831,82526.7148,9.5683,4.1238,47600,38807,0,8625,0,168,0,9297,6967,18483,13028,19820,18812,81.52731092436974,1149677.1159999352,531976.5879999993,1149677.1159999352,210549.4999998655,0.0,0.0,13.195618071564933,63.7032,59.9026,62.3389,63.7996,537.8876,3.2599,2.6705,2.6705,5.6144,1.4036,529.6027,3.31,0,0,0,-1.0,[],[]
ALL,TEST,170,68630.2211,1.6004,57097.446,1.3315,125727.6672,2.9319,11283.3661,1.1909,82448.8007,8.7017,93732.1668,9.8926,4.1915,50650,41026,0,9475,0,149,0,9152,6576,18580,12674,22918,21776,80.9990128331688,1228604.5239998964,569006.095999999,1228604.5239998964,218534.74999984002,0.0,0.0,13.797382749580683,62.8932,60.9846,64.0085,62.8682,559.9423,3.1997,2.7308,2.7308,5.7789,1.4447,551.4326,3.2437,0,0,0,-1.0,[],[]
ALL,TEST,180,74944.4193,1.6782,62966.1289,1.41,137910.5482,3.0881,14041.3851,1.3341,110002.7178,10.4516,124044.103,11.7857,4.747,53600,42870,0,10525,0,205,0,9385,6561,18807,12226,25408,24083,79.98134328358209,1359029.6319998766,644580.9000000039,1359029.6319998766,232140.59999980478,0.0,0.0,13.940341777835958,69.5768,66.068,69.5968,69.6085,599.0089,3.2379,2.9282,2.9282,6.2174,1.5543,589.8633,3.277,0,0,0,-1.0,[],[]
ALL,TEST,190,79295.1696,1.711,63884.0396,1.3785,143179.2092,3.0896,15274.7953,1.2959,128732.526,10.9216,144007.3213,12.2175,4.9404,56550,44558,0,11787,0,205,0,9611,6429,19634,12291,27305,25838,78.79398762157383,1438252.351999904,691322.9199999982,1438252.351999904,246481.34999977445,0.0,0.0,13.872345488941981,69.5713,65.6409,69.3448,69.6137,630.5102,3.2334,2.9476,2.9476,6.2747,1.5687,621.288,3.2699,0,0,0,-1.0,[],[]
ALL,TEST,200,85816.4836,1.756,64318.2419,1.3161,150134.7255,3.0721,16843.9298,1.3456,129505.8329,10.3456,146349.7627,11.6911,4.8297,59500,46772,0,12518,0,210,0,10001,6577,20323,12661,29176,27534,78.60840336134454,1511117.9879998881,721607.6439999992,1511117.9879998881,262133.39999973375,0.0,0.0,14.001491154705949,75.3681,65.9903,67.9906,75.6921,660.6764,3.2228,2.9928,2.9928,6.1379,1.5345,651.5456,3.2577,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_DISABLED,10,2810.0292,0.937,213.1951,0.0711,3023.2243,1.0081,1063.3751,13.1281,670.6455,8.2796,1734.0206,21.4077,1.5446,3050,2968,0,81,0,1,0,1040,1027,809,797,1201,1144,97.31147540983606,7009.147999999911,3855.747999999985,7009.147999999911,6709.300000000335,0.0,0.0,20.6982199636166,28.3938,6.9258,1.2613,50.0602,20.4202,1.3613,0.3028,0.3028,0.0938,0.0234,20.0236,2.0024,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_DISABLED,20,7201.6612,1.2225,690.7098,0.1172,7892.371,1.3397,2081.1858,11.2497,1937.1916,10.4713,4018.3774,21.721,1.9603,6000,5811,0,185,0,4,0,2151,2108,1780,1747,2069,1956,96.85,41129.612000001,22235.34400000008,41129.612000001,19925.64999999811,0.0,0.0,15.17886555663687,40.1079,17.0711,3.991,54.0666,56.8345,2.2734,0.7735,0.7735,0.3337,0.0834,55.7273,2.7864,0,0,0,-1.0,[],[]
