Orchestration architecture,Orchestration algorithm,Edge devices count,Tasks execution delay (s),Average execution delay (s),Tasks waiting time (s),Average waiting time (s),Tasks total time (s),Average total time (s),Tasks wasted execution delay (s),Average wasted execution delay (s),Tasks wasted waiting time (s),Average wasted waiting time (s),Tasks wasted total time (s),Average wasted total time (s),Average real total time (s),Generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Tasks success rate,Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average VM CPU usage (%),Average VM CPU usage (Cloud) (%),Average VM CPU usage (Edge) (%),Average VM CPU usage (Mist) (%),Energy consumption (W),Average energy consumption (W/Data center),Cloud energy consumption (W),Average Cloud energy consumption (W/Data center),Edge energy consumption (W),Average Edge energy consumption (W/Data center),Mist energy consumption (W),Average Mist energy consumption (W/Device),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
ALL,TEST,10,1282.7494,0.4207,454.4,0.149,1737.1494,0.5697,9.3002,0.4895,3.8,0.2,13.1002,0.6895,0.5705,3050,3030,0,19,0,1,0,2272,2253,747,747,31,30,99.34426229508196,16573.252000000142,11587.93200000012,16573.252000000142,7944.950000000644,0.0,0.0,10.30186136775912,1.1875,11.2595,0.2606,0.1268,21.6207,1.4414,0.4725,0.4725,0.0042,0.0011,21.144,2.1144,0,0,0,-1.0,[],[]
ALL,TEST,20,4278.435,0.7134,470.8,0.0785,4749.235,0.7919,26.3201,0.4178,10.2,0.1619,36.5201,0.5797,0.7897,6000,5935,0,63,0,2,0,2355,2304,3222,3211,423,420,98.91666666666667,55167.16400000155,28462.827999999976,55167.16400000155,22834.849999996375,0.0,0.0,10.805546966914488,4.3314,21.8226,4.3292,2.8746,60.9064,2.4363,0.9734,0.9734,0.3327,0.0832,59.6003,2.98,0,0,0,-1.0,[],[]
ALL,TEST,30,9032.4022,1.0115,539.6,0.0604,9572.0022,1.0719,78.9116,0.4408,29.4,0.1642,108.3116,0.6051,1.0627,8950,8769,0,179,0,2,0,2715,2568,5608,5580,627,621,97.97765363128492,72315.9880000013,33108.35600000006,72315.9880000013,38408.14999999845,0.0,0.0,10.959321229042487,7.4389,19.0256,15.6767,4.9645,102.7042,2.9344,0.7973,0.7973,1.3776,0.3444,100.5293,3.351,0,0,0,-1.0,[],[]
ALL,TEST,40,13764.6787,1.1589,1188.6994,0.1001,14953.3782,1.259,153.3295,0.631,29.31,0.1206,182.6395,0.7516,1.2488,11900,11653,0,243,0,4,0,4882,4743,6022,5933,996,977,97.92436974789916,68458.92400000103,20982.29999999981,68458.92400000103,53288.05000000947,0.0,0.0,10.117547943519469,11.0588,13.2912,26.811,8.3404,140.7253,3.1272,0.4702,0.4702,2.4317,0.6079,137.8234,3.4456,0,0,0,-1.0,[],[]
ALL,TEST,50,15514.5088,1.0441,2662.6311,0.1792,18177.1399,1.2233,262.8991,0.6475,124.5212,0.3067,387.4203,0.9542,1.2162,14950,14535,0,406,0,9,0,5515,5316,7516,7364,1919,1855,97.22408026755853,149112.29600000166,62592.90399999989,149112.29600000166,61881.600000016864,0.0,0.0,10.893727036204927,9.9163,23.2263,28.5124,6.9931,167.2246,3.0404,0.9399,0.9399,2.5341,0.6335,163.7506,3.275,0,0,0,-1.0,[],[]
ALL,TEST,60,18001.0549,1.0163,7358.5652,0.4155,25359.6201,1.4318,431.5146,0.6431,722.8579,1.0773,1154.3726,1.7204,1.4423,17900,17215,0,671,0,14,0,4708,4476,11147,10746,2045,1993,96.1731843575419,324876.3759999873,143134.09599999987,324876.3759999873,76772.00000003158,0.0,0.0,9.75324669265974,9.019,37.847,31.0384,5.7717,206.4175,3.1757,1.6777,1.6777,2.6602,0.6651,202.0796,3.368,0,0,0,-1.0,[],[]
ALL,TEST,70,21568.1685,1.0606,13898.669,0.6835,35466.8375,1.7441,652.4609,0.6292,1849.5391,1.7835,2502.0001,2.4127,1.7766,20850,19797,0,1037,0,16,0,5921,5581,12498,11890,2431,2326,94.94964028776978,417166.83999998635,182081.38800000073,417166.83999998635,91572.75000004588,0.0,0.0,9.053324176881373,14.0446,42.0498,35.0165,11.3805,241.7648,3.2235,1.8467,1.8467,3.0034,0.7509,236.9147,3.3845,0,0,0,-1.0,[],[]
ALL,TEST,80,25951.7774,1.1269,19623.4102,0.8521,45575.1876,1.979,932.09,0.6532,3476.7277,2.4364,4408.8176,3.0896,2.0438,23800,22346,0,1427,0,27,0,6393,5954,13401,12526,4006,3866,93.89075630252101,504668.1399999757,217731.75599999935,504668.1399999757,107172.25000005809,0.0,0.0,9.855764089051544,18.2058,44.7872,40.9927,15.7531,282.5218,3.3238,1.9608,1.9608,3.5453,0.8863,277.0158,3.4627,0,0,0,-1.0,[],[]
ALL,TEST,90,28902.5809,1.1284,26000.2727,1.0151,54902.8536,2.1435,1300.9917,0.6447,6914.4932,3.4264,8215.4848,4.0711,2.2842,26850,24797,0,2018,0,35,0,6705,6199,14417,13060,5728,5538,92.3538175046555,595147.4519999663,256510.08800000092,595147.4519999663,115026.20000007104,0.0,0.0,10.508931052537717,20.0062,47.8202,44.9395,17.6442,305.6838,3.2177,2.0969,2.0969,3.9004,0.9751,299.6865,3.3298,0,0,0,-1.0,[],[]
ALL,TEST,100,34842.677,1.2501,32776.3197,1.176,67618.9967,2.4261,2029.2772,0.7036,12532.594,4.3456,14561.8712,5.0492,2.672,29800,26866,0,2884,0,50,0,7565,6776,15332,13379,6903,6711,90.15436241610739,666554.579999954,289371.12800000026,666554.579999954,130038.10000008211,0.0,0.0,10.82404828354519,28.793,49.5678,48.6723,27.1215,342.3895,3.2609,2.1814,2.1814,4.2992,1.0748,335.9089,3.3591,0,0,0,-1.0,[],[]
ALL,TEST,110,40253.0051,1.3277,35665.2437,1.1764,75918.2488,2.5041,2745.98,0.7729,17594.6981,4.9521,20340.6781,5.7249,2.842,32750,29137,0,3553,0,60,0,7760,6871,15917,13502,9073,8764,88.96793893129771,746524.7119999425,327041.51999999996,746524.7119999425,145015.2500000416,0.0,0.0,11.593374134252803,36.5221,51.5455,51.1861,35.4058,376.8747,3.2772,2.2711,2.2711,4.5252,1.1313,370.0784,3.3643,0,0,0,-1.0,[],[]
ALL,TEST,120,45473.3297,1.4255,41483.3662,1.3004,86956.6959,2.7258,5486.2344,1.0946,33076.1326,6.5994,38562.3669,7.694,3.4004,35700,30619,0,5012,0,69,0,7908,6639,15769,12443,12023,11537,85.76750700280112,838117.8359999182,372463.62800000026,838117.8359999182,158704.80000000304,0.0,0.0,12.861058984000692,42.7611,54.2867,56.5191,41.8367,417.2519,3.338,2.4403,2.4403,5.1376,1.2844,409.6739,3.4139,0,0,0,-1.0,[],[]
ALL,TEST,130,48942.2023,1.4255,43716.1278,1.2733,92658.3301,2.6988,6220.0438,1.0878,37176.7326,6.5017,43396.7764,7.5895,3.397,38750,32934,0,5718,0,98,0,8657,7213,16989,13149,13104,12572,84.99096774193548,889451.4119999042,400426.4439999988,889451.4119999042,166706.59999997728,0.0,0.0,12.651277314766785,48.1917,53.9301,56.1001,47.7126,434.3293,3.2173,2.3932,2.3932,5.0472,1.2618,426.889,3.2838,0,0,0,-1.0,[],[]
ALL,TEST,140,53756.0288,1.4694,48021.4318,1.3126,101777.4606,2.782,7195.706,1.1028,45415.7562,6.9603,52611.4622,8.0631,3.5814,41700,35054,0,6525,0,121,0,8719,6986,17467,13249,15514,14819,84.06235011990408,977883.7679999117,443698.54400000063,977883.7679999117,181270.09999994255,0.0,0.0,12.745107539621818,53.1004,56.7902,58.1811,52.8145,467.7381,3.2258,2.493,2.493,5.1526,1.2882,460.0924,3.2864,0,0,0,-1.0,[],[]
ALL,TEST,150,60173.8322,1.5763,52922.3621,1.3864,113096.1943,2.9627,8736.0598,1.0997,64179.8934,8.079,72915.9533,9.1787,4.0335,44650,36561,0,7944,0,145,0,9107,7077,18373,13157,17170,16327,81.88353863381859,1073482.9279998944,491296.5199999987,1073482.9279998944,195991.9499998993,0.0,0.0,13.113950297835794,59.563,59.5798,61.7034,59.4677,503.781,3.2502,2.6174,2.6174,5.4607,1.3652,495.7029,3.3047,0,0,0,-1.0,[],[]
ALL,TEST,160,65201.7039,1.6079,54473.338,1.3433,119675.0418,2.9512,10794.8103,1.2593,69940.1382,8.1591,80734.9485,9.4184,4.0798,47600,38877,0,8572,0,151,0,9199,6882,18706,13261,19695,18734,81.67436974789916,1157880.92399991,541966.1800000014,1157880.92399991,210596.44999986948,0.0,0.0,13.26061468218555,64.9501,61.2873,62.079,65.1079,535.6027,3.2461,2.694,2.694,5.4834,1.3708,527.4252,3.2964,0,0,0,-1.0,[],[]
ALL,TEST,170,68068.4895,1.5939,59639.4477,1.3965,127707.9372,2.9904,11904.5102,1.2336,86102.6017,8.9225,98007.1119,10.1562,4.3112,50650,40812,0,9650,0,188,0,9747,7179,19272,13126,21631,20507,80.57650542941757,1222941.2479998986,567797.3640000006,1222941.2479998986,217908.04999984056,0.0,0.0,13.592805530272223,64.8156,60.6905,63.4092,64.9112,556.2057,3.1783,2.6952,2.6952,5.6961,1.424,547.8144,3.2224,0,0,0,-1.0,[],[]
ALL,TEST,180,74846.3719,1.6807,60804.8253,1.3654,135651.1972,3.0461,13569.9457,1.2655,103052.2387,9.6104,116622.1844,10.8759,4.5655,53600,42683,0,10723,0,194,0,9719,6686,19338,12734,24543,23263,79.63246268656717,1329831.5239998945,634780.9200000024,1329831.5239998945,232882.99999980477,0.0,0.0,13.76028478274759,68.9929,64.4628,65.5455,69.1626,593.5991,3.2086,2.8799,2.8799,5.8967,1.4742,584.8225,3.249,0,0,0,-1.0,[],[]
ALL,TEST,190,80598.6264,1.7115,63269.476,1.3435,143868.1025,3.055,15130.9931,1.3596,107793.9386,9.6859,122924.9317,11.0455,4.5823,56550,45188,0,11129,0,233,0,9914,6904,19762,12883,26874,25401,79.9080459770115,1398245.587999903,661310.1640000013,1398245.587999903,247764.4999997676,0.0,0.0,13.790883736095404,74.2762,64.6331,67.4877,74.599,624.2995,3.2015,2.8332,2.8332,5.975,1.4938,615.4913,3.2394,0,0,0,-1.0,[],[]
ALL,TEST,200,85556.6832,1.7276,63091.0265,1.2739,148647.7097,3.0015,16643.8436,1.4145,117592.258,9.9934,134236.1016,11.4078,4.6154,59500,47482,0,11767,0,251,0,9692,6498,19713,12604,30095,28380,79.8016806722689,1495284.1679998883,714032.451999999,1495284.1679998883,261059.24999973533,0.0,0.0,14.120319888804643,74.6158,65.2439,67.4115,74.934,660.2912,3.2209,2.922,2.922,6.066,1.5165,651.3032,3.2565,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_DISABLED,10,2942.5522,0.9848,215.155,0.072,3157.7072,1.0568,920.9551,10.2328,1448.6914,16.0966,2369.6465,26.3294,1.7958,3050,2958,0,90,0,2,0,1071,1059,821,810,1158,1089,96.98360655737704,6783.811999999977,3444.791999999982,6783.811999999977,6788.500000000367,0.0,0.0,20.164309189295203,25.456,6.2063,1.643,44.5396,20.3939,1.3596,0.2674,0.2674,0.131,0.0327,19.9955,1.9995,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_DISABLED,20,8085.5783,1.3796,760.8643,0.1298,8846.4425,1.5094,2180.4934,10.8482,2833.1427,14.0952,5013.6361,24.9435,2.2864,6000,5792,0,201,0,7,0,2077,2060,1799,1767,2124,1965,96.53333333333333,41268.576000001005,21516.076000000034,41268.576000001005,19387.799999997846,0.0,0.0,16.17490415169241,34.6308,17.246,3.6694,46.3999,55.7444,2.2298,0.7796,0.7796,0.2972,0.0743,54.6677,2.7334,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_DISABLED,30,12085.0337,1.3971,1485.4042,0.1717,13570.4379,1.5688,3038.527,7.2519,6442.0739,15.3749,9480.6009,22.6267,2.5417,8950,8527,0,419,0,4,0,2710,2604,2373,2302,3867,3621,95.27374301675978,82397.07200000205,44509.09200000011,82397.07200000205,34893.049999997325,0.0,0.0,15.416058419939956,42.5801,26.8607,6.8998,51.3823,96.867,2.7676,1.2185,1.2185,0.5915,0.1479,95.0571,3.1686,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_DISABLED,40,17085.9003,1.483,2684.778,0.233,19770.6784,1.7161,4145.1587,7.7191,4739.2377,8.8254,8884.3964,16.5445,2.3764,11900,11322,0,537,0,41,0,2640,2496,3098,2976,6162,5850,95.14285714285714,126632.44400000223,61968.772000000004,126632.44400000223,50088.150000002366,0.0,0.0,18.134040562359576,50.829,34.7213,10.7425,58.1812,136.7576,3.0391,1.6587,1.6587,0.9642,0.241,134.1347,3.3534,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_DISABLED,50,22557.919,1.5414,3282.1628,0.2243,25840.0817,1.7656,4597.276,7.6494,4670.2294,7.7708,9267.5054,15.4201,2.3043,14950,14340,0,601,0,9,0,3110,2943,4466,4325,7374,7072,95.91973244147157,174961.5359999983,85017.91999999987,174961.5359999983,55423.20000000773,0.0,0.0,18.376917089273686,52.6143,34.4302,14.2944,58.3297,157.3786,2.8614,1.6018,1.6018,1.2599,0.315,154.5168,3.0903,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_DISABLED,60,29366.0006,1.6991,4026.9398,0.233,33392.9404,1.9321,8336.2572,9.473,6345.7935,7.2111,14682.0507,16.6841,2.6469,17900,16987,0,880,0,33,0,3558,3333,5761,5596,8581,8058,94.89944134078212,205241.6119999931,95765.79599999994,205241.6119999931,67042.20000001405,0.0,0.0,18.222250369072363,58.7352,32.523,21.1325,63.6414,189.7201,2.9188,1.4891,1.4891,1.9001,0.475,186.3308,3.1055,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_DISABLED,70,34162.0045,1.6877,5946.6949,0.2938,40108.6995,1.9815,5119.4958,5.6507,5359.2819,5.9153,10478.7778,11.566,2.3921,20850,19894,0,906,0,50,0,3533,3243,6044,5811,11273,10840,95.41486810551558,253531.29999998616,116029.02400000002,253531.29999998616,84526.90000002166,0.0,0.0,19.399628477605784,56.2346,37.4791,26.9073,59.4742,230.6452,3.0753,1.7083,1.7083,2.4176,0.6044,226.5193,3.236,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_DISABLED,80,41706.5393,1.8251,7237.7964,0.3167,48944.3358,2.1418,11930.6062,8.3489,11150.6746,7.8031,23081.2807,16.1521,2.9663,23800,22308,0,1429,0,63,0,3972,3578,6983,6688,12845,12042,93.73109243697479,304718.90799997904,142697.3680000002,304718.90799997904,92523.80000003011,0.0,0.0,19.4400545777333,67.9204,38.9191,28.3753,71.82,259.1341,3.0486,1.7622,1.7622,2.5177,0.6294,254.8542,3.1857,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_DISABLED,90,46285.0568,1.789,9904.3153,0.3828,56189.372,2.1718,9933.2798,6.9366,10262.0691,7.1662,20195.3489,14.1029,2.7976,26850,25376,0,1432,0,42,0,4321,3825,7406,7113,15123,14438,94.51024208566108,371531.83599997265,173893.98000000027,371531.83599997265,101583.45000003847,0.0,0.0,18.845570172631017,62.2788,41.8137,33.0341,64.8241,285.2942,3.0031,1.8941,1.8941,2.9771,0.7443,280.4231,3.1158,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_DISABLED,100,51260.3954,1.8185,13834.9928,0.4908,65095.3883,2.3092,15949.7272,7.4358,23292.5041,10.859,39242.2313,18.2947,3.4396,29800,27614,0,2145,0,41,0,4975,4283,7914,7388,16911,15943,92.66442953020135,427060.491999956,201661.81999999966,427060.491999956,110117.85000004577,0.0,0.0,19.21803399988544,66.0211,43.6358,36.9679,68.3311,318.5758,3.0341,1.9525,1.9525,3.34,0.835,313.2833,3.1328,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_DISABLED,110,57487.4811,1.8534,17622.1797,0.5681,75109.6608,2.4216,13995.8037,6.1956,38071.1181,16.8531,52066.9217,23.0487,3.8219,32750,30446,0,2259,0,45,0,4693,3901,7578,6980,20479,19565,92.9648854961832,518311.3839999477,240947.14800000048,518311.3839999477,134417.70000003913,0.0,0.0,20.15561232640352,63.6457,48.0244,43.1457,65.1248,378.5037,3.2913,7.9609,7.9609,13.2922,3.3231,357.2506,3.2477,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_DISABLED,120,62603.5474,1.8708,20826.7031,0.6224,83430.2504,2.4931,16431.6361,5.5719,25271.9364,8.5697,41703.5725,14.1416,3.4365,35700,32705,0,2949,0,46,0,4991,4019,8643,7802,22066,20884,91.61064425770309,581864.5359999147,282623.33199999953,581864.5359999147,140319.60000003653,0.0,0.0,21.0559075707364,71.8446,53.6137,43.9503,73.6475,392.7381,3.1419,2.4382,2.4382,3.981,0.9952,386.3188,3.2193,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_DISABLED,130,64844.2434,1.806,24671.6044,0.6871,89515.8477,2.4931,23488.2661,6.6145,61484.5101,17.3147,84972.7762,23.9293,4.4224,38750,35153,0,3551,0,46,0,5527,4273,8935,8018,24288,22862,90.71741935483871,627747.431999908,309332.16800000047,627747.431999908,141316.8000000358,0.0,0.0,20.35451441204194,67.37,49.5923,39.1533,69.0449,409.0189,3.0298,2.4875,2.4875,3.933,0.9832,402.5985,3.0969,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_DISABLED,140,69141.3254,1.7904,28336.2376,0.7338,97477.563,2.5242,27506.9168,7.214,101602.6928,26.6464,129109.6096,33.8604,5.3403,41700,37835,0,3813,0,52,0,5456,4166,9016,8046,27228,25623,90.73141486810552,744557.3559998866,376302.24799999996,744557.3559998866,152767.00000001086,0.0,0.0,20.254233366366634,71.2091,60.8373,45.0839,72.5766,444.6719,3.0667,2.8318,2.8318,4.158,1.0395,437.6821,3.1263,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_DISABLED,150,72588.2383,1.7803,28119.8542,0.6897,100708.0925,2.4699,36703.4945,7.7222,135219.4442,28.4493,171922.9387,36.1715,5.9883,44650,39852,0,4753,0,45,0,5931,4444,9403,8228,29316,27180,89.2541993281075,756089.4119998718,376497.88800000155,756089.4119998718,162182.3999999981,0.0,0.0,21.38374662213532,69.5911,55.4555,44.6991,70.8544,474.5293,3.0615,2.7505,2.7505,4.4457,1.1114,467.3331,3.1156,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_DISABLED,160,77035.0523,1.8115,36502.8268,0.8584,113537.8791,2.6698,39025.3309,6.5064,135895.4476,22.6568,174920.7785,29.1632,5.9447,47600,41528,0,5998,0,74,0,6519,4193,9659,8306,31422,29029,87.24369747899159,896311.0559998725,479202.2880000002,896311.0559998725,173086.94999998063,0.0,0.0,20.6798202992876,72.1578,63.6889,45.2069,73.369,508.4003,3.0812,3.1715,3.1715,4.4729,1.1182,500.7559,3.1297,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_DISABLED,170,82977.7815,1.8132,37110.6529,0.8109,120088.4344,2.6242,30153.5596,5.1334,109433.1391,18.6301,139586.6988,23.7635,5.029,50650,44709,0,5874,0,67,0,6634,4291,9714,8161,34302,32257,88.27048371174729,903089.7679998664,480477.8759999986,903089.7679998664,190215.84999995274,0.0,0.0,20.960632281228136,77.0153,67.2206,53.0663,78.0504,537.2562,3.07,3.0935,3.0935,4.9204,1.2301,529.2423,3.1132,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_DISABLED,180,89410.715,1.9204,45931.7577,0.9865,135342.4727,2.9069,30273.026,3.7163,143614.7103,17.6301,173887.7363,21.3464,5.6527,53600,45359,0,8146,0,95,0,7721,3700,9838,7802,36041,33857,84.625,1096565.3879998727,615882.2759999989,1096565.3879998727,205191.8999999211,0.0,0.0,20.29099060983462,77.6975,74.7979,49.6194,78.7643,589.3841,3.1859,8.126,8.126,12.2313,3.0578,569.0268,3.1613,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_DISABLED,190,90537.9606,1.8647,41891.7202,0.8628,132429.6808,2.7275,64288.3923,6.9644,229871.679,24.9021,294160.0713,31.8665,7.3825,56550,47230,0,9231,0,89,0,8434,4534,11715,9789,36401,32907,83.51900972590627,1087616.9439998711,607432.235999999,1087616.9439998711,185573.44999994483,0.0,0.0,19.831004353820415,74.1152,67.1524,43.2204,75.2603,567.1427,2.9084,3.3859,3.3859,4.3163,1.0791,559.4405,2.9444,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_DISABLED,200,90957.665,1.8256,43019.3029,0.8634,133976.9679,2.689,69461.0597,6.3667,444805.9063,40.7705,514266.9661,47.1372,10.6735,59500,48518,0,10910,0,72,0,8885,3849,11142,8991,39473,35678,81.54285714285714,1039890.1199998505,608004.8639999997,1039890.1199998505,197532.39999992456,0.0,0.0,19.789337514595537,60.9158,47.8445,33.9262,61.9244,606.9481,2.9607,3.3475,3.3475,4.8042,1.2011,598.7964,2.994,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_EMPTY,10,3254.057,1.0669,112.6,0.0369,3366.657,1.1038,14.3928,1.1994,0.6,0.05,14.9928,1.2494,1.1044,3050,3038,0,12,0,0,0,563,560,1351,1346,1136,1132,99.60655737704919,7326.1040000000075,3238.5039999999967,7326.1040000000075,7442.700000000376,0.0,0.0,17.7459655686118,18.7225,6.4437,1.7038,32.1147,21.2059,1.4137,0.2984,0.2984,0.125,0.0312,20.7826,2.0783,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_EMPTY,20,8966.5619,1.5045,353.72,0.0593,9320.2819,1.5638,663.0114,7.2858,232.5002,2.5549,895.5116,9.8408,1.6883,6000,5905,0,91,0,4,0,1133,1112,2235,2205,2632,2588,98.41666666666667,30236.860000000303,13227.296000000022,30236.860000000303,21060.949999998105,0.0,0.0,17.20731056328937,38.5122,13.876,5.6407,51.5224,57.9469,2.3179,0.6408,0.6408,0.4796,0.1199,56.8266,2.8413,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_EMPTY,30,13139.8877,1.4761,741.6869,0.0833,13881.5746,1.5594,754.0747,4.4357,60.5608,0.3562,814.6355,4.792,1.62,8950,8771,0,170,0,9,0,1510,1468,2327,2243,5113,5060,98.0,63854.36800000171,28643.563999999948,63854.36800000171,37292.54999999871,0.0,0.0,21.83647073489009,38.29,22.0349,11.5714,45.1306,102.8691,2.9391,1.0418,1.0418,1.0536,0.2634,100.7736,3.3591,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_EMPTY,40,19334.8893,1.6763,2103.2015,0.1823,21438.0908,1.8587,4086.7546,7.5541,4378.5365,8.0934,8465.291,15.6475,2.4765,11900,11335,0,541,0,24,0,2627,2513,4056,3944,5217,4878,95.25210084033614,115435.78000000081,54501.41600000008,115435.78000000081,47987.55000000225,0.0,0.0,15.00560219865031,46.6771,28.4989,12.9808,53.0506,131.475,2.9217,1.3199,1.3199,1.1455,0.2864,129.0096,3.2252,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_EMPTY,50,27011.8759,1.8497,1904.8034,0.1304,28916.6793,1.9802,5428.6171,9.9975,4845.4693,8.9235,10274.0865,18.921,2.5875,14950,14363,0,543,0,44,0,2676,2574,3341,3268,8933,8521,96.07357859531773,139016.65200000582,64819.459999999955,139016.65200000582,53125.65000000909,0.0,0.0,22.577410354862078,60.0641,26.7009,13.4825,67.387,151.543,2.7553,1.2528,1.2528,1.2473,0.3118,149.0429,2.9809,0,0,0,-1.0,[],[]
